COD_DANE_DEPARTAMENTO,DEPARTAMENTO,COD_SECRETARIA,SECRETARIA,COD_DANE_MUNICIPIO,MUNICIPIO,CODIGO_DANE,NOMBRE_ESTABLECIMIENTO,COD_SECTOR,SECTOR,COD_CARACTER,CARACTER,COD_CALENDARIO,CALENDARIO,DIRECCION,BARRIO_VEREDA,TELEFONO,FAX,EMAIL,RECTOR,WEB,TOTAL_MATRICULA,CANTIDAD_SEDES
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227099000532,CE INDÍGENA CHOGOROKUARA,1001,OFICIAL,-,-,52,A,RESG CHARCO GALLO,,3138119570,,Lucuca1974@gmail.com,LUCINDO CUÑAPA CAIZAMO,,273,4
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227073000127,CE INDÍGENA MINDALECIO CAMPAÑA,1001,OFICIAL,-,-,52,A,RESG INDIG TAHAMI,,3148044667,,asorewasimat@gmail.com,BERNANDO BITUCAY BISCUÑA,,162,4
27,CHOCÓ,4382,QUIBDÓ,27001,QUIBDÓ,327001800000,CENTRO EDUCATIVO ASAMBLEAS DE DIOS,1002,NO_OFICIAL,-,-,52,A,IND CR 12 N° 12-32,LA PLAYITA,6721344,,solrenco@gmail.com,SOL MARIA RENTERIA CORDOBA,,77,1
27,CHOCÓ,4382,QUIBDÓ,27001,QUIBDÓ,327001018271,CENTRO EDUCATIVO PACIFICO (CEPA),1002,NO_OFICIAL,-,-,52,A,KR 6 11 106,,,,,JOSE DELFINO MURILLO BERMUDEZ,,35,1
27,CHOCÓ,4382,QUIBDÓ,27001,QUIBDÓ,327001018280,JARDIN INFANTIL Y ESCUELA MATERNA ACUARELA,1002,NO_OFICIAL,-,-,52,A,CL 24 25 95,EL JARDIN,,,,LUCENY PARRA MATURANA,,38,1
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227250000094,CE INDÍGENA CHIRIVICO OSORIO,1001,OFICIAL,-,-,52,A,COMUN. INDIG CHAGPIEN MEDIO,,3105973992,,wiervazu@hotmail.com,WILLIAM VALENCIA ZUÑIGA,,280,4
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227025080704,CE INDÍGENA MAXIMILIANO ROJAS ISARAMA,1001,OFICIAL,-,-,52,A,COMUNIDAD. INDIGENA DE GEANDO RIO CUGUCHO,,3105975842,,coberturasimatchirch@gmail.com,PLINIO CABRERA IZARAMA,,270,4
27,CHOCÓ,4382,QUIBDÓ,27001,QUIBDÓ,327001800042,JARDIN INFANTIL MIS PRIMEROS PASOS,1002,NO_OFICIAL,-,-,52,A,IND CRA 9 N° 28-55,SILENCIO,3165676406,,jardinmisprimerospasosquibdo@gmail.com,WALTER EMILIO MURILLO SERNA,,45,1
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227413000496,CE INDÍGENA DE LANA,1001,OFICIAL,-,-,52,A,COMUN LANA,,3148375779,,asorewasimat@gmail.com,JULIO AMAGARA CHORY,,512,6
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227810800008,CE INDIGENA DE PICHINDE,1001,OFICIAL,-,-,52,A,COMUNIDAD INDIGENA DE PICHINDE,,3147584525,,robertoisarama@gmail.com,ROBERTO ISARAMA ROJAS,,83,3
27,CHOCÓ,3789,CHOCO,27787,TADÓ,427372000264,CE INDÍGENA OGO PURU,1001,OFICIAL,-,-,52,A,JURADO,,,,cedosbocasjurado@gmail.com,ALEXIS VALDESPIN DAJI,,185,2
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227135002601,CE INDÍGENA CAMPO BONITO DE TARIDO,1001,OFICIAL,-,-,52,A,CAMPO BONITO,,3146952606,,eleuteriomecha@hotmail.com,ELEUTERIO MECHA LIMON,,88,2
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227491001016,CE INDÍGENA DE SABALETERA,1001,OFICIAL,-,-,52,A,IPARRA,,3105975842,,coberturasimatchirch@gmail.com,MILADIS PACHECO LANA,,290,5
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227205001039,CE INDÍGENA DE ALTO BONITO,1001,OFICIAL,-,-,52,A,VDA ALTO BONITO,,3123191329,,ferpipicay@hotmail.com,PIPICAY OKY FERNANDO,,216,3
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227660000709,CE INDÍGENA NUESTRA SEÑORA DEL CARMEN,1001,OFICIAL,-,-,52,A,VDA EL COPEC,,3136909389,,cristinasequia@gmail.com,ERIKA CRISTINA TASCON TASCON,,67,2
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227745000210,CE INDÍGENA LA MILAGROSA DE SANDOSITO,1001,OFICIAL,-,-,52,A,CORREG SANANDO,,3205476919 - 3503190404,,asorewasimat@gmail.com,ISMAEL FORASTERO MECHA,,68,1
27,CHOCÓ,3789,CHOCO,27787,TADÓ,427495000188,CE INDÍGENA THEARATE,1001,OFICIAL,-,-,52,A,CORREG RIO DE PANGUI,,3172837837,,asorewasimat@gmail.com,YURY MOYA MACHUCA,,271,3
27,CHOCÓ,3789,CHOCO,27787,TADÓ,127495000389,CE INDÍGENA PHUSABIDARA,1001,OFICIAL,-,-,52,A,CABECERA MUNICPAL,,3137228727,,becamecha@hotmail.com,BENJAMIN CABRERA MECHA,,306,3
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227099000460,CE INDÍGENA UNION BAQUIAZA,1001,OFICIAL,-,-,52,A,VDA UNION BAQUIAZA,,3208607958,,asorewasimat@gmail.com,JOSE CABRERA PIPICAY,,484,5
27,CHOCÓ,3789,CHOCO,27787,TADÓ,327361002571,JARDÍN INFANTIL YADELIA DEL AMOR,1002,NO_OFICIAL,-,-,52,A,CL 32 07 73,,,,,EMY DEL SOCORRO AGUILAR MOSQUERA,,30,1
27,CHOCÓ,3789,CHOCO,27787,TADÓ,327361002881,JARDÍN INFANTIL MI PRIMER SUEÑO,1002,NO_OFICIAL,-,-,52,A,KR 5 5 39,,,,,SORAYA ALINA MOSQUERA,,52,1
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227025001219,CE INDÍGENA KATIO BERNARDO ARCE - CEIKABAL,1001,OFICIAL,-,-,52,A,CORREG PUERTO INDIO,,3104034183,,onorioarcebricha@gmail.com,ARCE BRICHA ONORIO,,323,5
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227001004250,CE INDÍGENA EMBERA JOSELITO AMAGARA,1001,OFICIAL,-,-,52,A,COMUN INDIG GUADUALITOS,,3122134718,,casildobete2012@gmail.com,CASILDO CANSARIOLEA,,358,8
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227150000305,CE INDÍGENA OIBIDA KUVAMIANDÓ - SEDE PRINCIPAL,1001,OFICIAL,-,-,52,A,VDA ALTO GUAYABAL,,3107350865,,asorewasimat@gmail.com,GUILLERMO ALEJANDRO LONDOÑO,,299,6
27,CHOCÓ,3789,CHOCO,27787,TADÓ,227245000311,IE INDÍGENA AMADO ARCE,1001,OFICIAL,817,Académico,52,A,VDA LA PURIA,,3104666937,,aurentinoarce@gmail.com,AURENTINO ARCE ESTEVE,,403,4
27,CHOCÓ,4382,QUIBDÓ,27001,QUIBDÓ,127001017896,IE ADVENTISTA DE QUIBDO BOLIVAR ESCANDON,1002,NO_OFICIAL,817,Académico,52,A,CL 30 5 45,CESAR CONTO,6714714,,,CLAUDIA PATRICIA RIVAS MURILLO,,486,1
